areaCode,areaName,areaType,date,cumCasesByPublishDate
S12000045,East Dunbartonshire,utla,2021-09-08,11484
W06000023,Powys,utla,2021-09-08,7250
S12000013,Na h-Eileanan Siar,utla,2021-09-07,612
S12000029,South Lanarkshire,utla,2021-09-07,35167
S12000045,East Dunbartonshire,utla,2021-09-07,11322
W06000023,Powys,utla,2021-09-07,7200
S12000013,Na h-Eileanan Siar,utla,2021-09-06,609
S12000029,South Lanarkshire,utla,2021-09-06,34727
S12000045,East Dunbartonshire,utla,2021-09-06,11182
W06000023,Powys,utla,2021-09-06,7127
S12000013,Na h-Eileanan Siar,utla,2021-09-05,604
S12000029,South Lanarkshire,utla,2021-09-05,34245
S12000045,East Dunbartonshire,utla,2021-09-05,11011
W06000023,Powys,utla,2021-09-05,6978
S12000013,Na h-Eileanan Siar,utla,2021-09-04,598
S12000029,South Lanarkshire,utla,2021-09-04,33821
S12000045,East Dunbartonshire,utla,2021-09-04,10873
W06000023,Powys,utla,2021-09-04,6894
S12000013,Na h-Eileanan Siar,utla,2021-09-03,587
S12000029,South Lanarkshire,utla,2021-09-03,33359
S12000045,East Dunbartonshire,utla,2021-09-03,10741
W06000023,Powys,utla,2021-09-03,6894
S12000013,Na h-Eileanan Siar,utla,2021-09-02,576
S12000029,South Lanarkshire,utla,2021-09-02,32909
S12000045,East Dunbartonshire,utla,2021-09-02,10568
W06000023,Powys,utla,2021-09-02,6800
S12000013,Na h-Eileanan Siar,utla,2021-09-01,565
S12000029,South Lanarkshire,utla,2021-09-01,32443
S12000045,East Dunbartonshire,utla,2021-09-01,10390
W06000023,Powys,utla,2021-09-01,6734
S12000013,Na h-Eileanan Siar,utla,2021-08-31,564
S12000029,South Lanarkshire,utla,2021-08-31,31943
S12000045,East Dunbartonshire,utla,2021-08-31,10238
W06000023,Powys,utla,2021-08-31,6635
S12000013,Na h-Eileanan Siar,utla,2021-08-30,560
S12000029,South Lanarkshire,utla,2021-08-30,31474
S12000045,East Dunbartonshire,utla,2021-08-30,10069
W06000023,Powys,utla,2021-08-30,6516
S12000013,Na h-Eileanan Siar,utla,2021-08-29,555
S12000029,South Lanarkshire,utla,2021-08-29,31209
S12000045,East Dunbartonshire,utla,2021-08-29,9941
W06000023,Powys,utla,2021-08-29,6516
S12000013,Na h-Eileanan Siar,utla,2021-08-28,552
S12000029,South Lanarkshire,utla,2021-08-28,30641
S12000045,East Dunbartonshire,utla,2021-08-28,9709
W06000023,Powys,utla,2021-08-28,6433
S12000013,Na h-Eileanan Siar,utla,2021-08-27,540
S12000029,South Lanarkshire,utla,2021-08-27,30125
S12000045,East Dunbartonshire,utla,2021-08-27,9512
W06000023,Powys,utla,2021-08-27,6433
S12000013,Na h-Eileanan Siar,utla,2021-08-26,531
S12000029,South Lanarkshire,utla,2021-08-26,29592
S12000045,East Dunbartonshire,utla,2021-08-26,9268
W06000023,Powys,utla,2021-08-26,6374
S12000013,Na h-Eileanan Siar,utla,2021-08-25,520
S12000029,South Lanarkshire,utla,2021-08-25,29193
S12000045,East Dunbartonshire,utla,2021-08-25,9140
W06000023,Powys,utla,2021-08-25,6293
S12000013,Na h-Eileanan Siar,utla,2021-08-24,513
S12000029,South Lanarkshire,utla,2021-08-24,28852
