time_open,Type,price_high,price_low,volume_traded,trades_count
2021-11-03T12:00:00.2119230Z,BTC,46385.26,43625.7,1062.44232,37790
2021-11-04T00:00:02.3828350Z,BTC,46130,44538.96,386.1268034,17469
2021-11-04T12:00:00.8016610Z,BTC,46183.52,44200,762.2342988,31423
2021-11-05T00:00:01.5847130Z,BTC,46429.28,44368,295.9587246,17695
2021-11-05T12:00:01.6977170Z,BTC,46040.85,44300.82,489.5986772,26769
2021-11-06T00:00:01.8999290Z,BTC,45690.07,43935.89,288.6428888,14550
2021-11-06T12:00:00.5554740Z,BTC,45700,44001.15,338.7009769,21919
2021-11-07T00:00:00.2214830Z,BTC,46263.98,44867.15,234.4279887,13891
2021-11-07T12:00:01.1325270Z,BTC,46970,45038.47,368.0589251,24183
2021-11-08T00:00:00.9766300Z,BTC,49240.86,46213,799.5520667,31537
2021-11-08T12:00:00.0287820Z,BTC,49981.47,47000.94,598.3786254,34003
2021-11-09T00:00:01.9761700Z,BTC,50577.77,48659.24,617.2254635,28007
2021-11-09T12:00:01.6850630Z,BTC,50256.1,48018.69,572.1596732,32339
2021-11-10T00:00:01.3828710Z,BTC,49698.45,48116.1,295.146223,17684
2021-11-10T12:00:00.1900000Z,BTC,51045.31,46350.28,1540.883545,58192
2021-11-11T00:00:00.0330000Z,BTC,49043.43,47325.91,478.7430106,20485
2021-11-11T12:00:00.2820000Z,BTC,48919.43,47840.01,494.8374176,29886
2021-11-12T00:00:01.1290000Z,BTC,49011.81,47414.58,463.9138301,22407
2021-11-12T12:00:00.0225540Z,BTC,48237.1,46450.28,696.761145,33749
2021-11-13T00:00:00.2729790Z,BTC,48211.1,46919.65,161.0592478,11791
2021-11-13T12:00:02.4230150Z,BTC,48600,47265.38,296.2540226,21038
2021-11-14T00:00:00.1840630Z,BTC,48864.34,47711.59,244.976986,12877
2021-11-14T12:00:01.0963640Z,BTC,49040.41,47400,396.3572182,23977
2021-11-15T00:00:02.5920000Z,BTC,49559.68,48613.41,306.9347319,17384
2021-11-15T12:00:02.0339160Z,BTC,49149.97,47300,588.3906923,31232
2021-11-16T00:00:02.4826150Z,BTC,47462.65,43066.5,1389.9987,55782
2021-11-16T12:00:01.3309250Z,BTC,46057.5,44084.64,818.1461641,42906
2021-11-17T00:00:02.2021010Z,BTC,45412.52,43488.01,628.4178597,29224
2021-11-17T12:00:00.1600000Z,BTC,45342.49,44113.05,533.6667343,28715
2021-11-18T00:00:03.6455160Z,BTC,45306.7,43778.71,376.1205483,18962
2021-11-18T12:00:01.8998620Z,BTC,44579.59,41817.5,1202.094382,49107
2021-11-19T00:00:00.3270390Z,BTC,42879.76,41293.41,618.3952091,25600
2021-11-19T12:00:00.6205750Z,BTC,43496,42298.13,619.7820326,31616
2021-10-01T00:00:00.7905020Z,ETH,35502.25,32180,876.7781239,28095
2021-10-01T12:00:00.9255280Z,ETH,35805,34498.76,967.6084051,31944
2021-10-02T00:00:01.5321180Z,ETH,35642.85,34999.94,270.3272479,13956
2021-10-02T12:00:00.9093790Z,ETH,35700,35100,522.4716149,24139
2021-10-03T00:00:00.2669710Z,ETH,35548.06,34796.88,222.4177266,11096
2021-10-03T12:00:01.3042220Z,ETH,36364.78,35151.51,667.4707537,25249
2021-10-04T00:00:03.5910000Z,ETH,35620.01,34854.67,454.8313953,14896
2021-10-04T12:00:01.0532000Z,ETH,36477.64,34500,809.2396016,27018
2021-10-05T00:00:01.3766430Z,ETH,37000,36016.05,540.3443972,18171
2021-10-05T12:00:00.4450000Z,ETH,38092.32,36400.31,887.5292117,31726
2021-10-06T00:00:00.0277400Z,ETH,38082,36824.8,675.8053149,20943
2021-10-06T12:00:01.2729760Z,ETH,41055.8,37553.85,1656.234975,52657
2021-10-07T00:00:02.4726980Z,ETH,40707.1,38970.54,670.9777377,22299
2021-10-07T12:00:01.7795430Z,ETH,40222.83,38520.02,711.4522449,27792
2021-10-08T00:00:01.6890000Z,ETH,41310.95,38807.65,570.1438423,20339
